文件名,输入宽度,输入高度,输出宽度,输出高度,下采样后0值数量,下采样后0值占比,插值后0值数量,插值后0值占比,状态
20210530.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20210611.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20210623.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20210705.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20210717.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20210729.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20210810.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20210822.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20210903.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20210927.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20211009.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20211021.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20211102.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20211114.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20211220.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20220101.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20220125.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20220206.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20220314.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20220326.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20220407.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20220419.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20220501.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20220525.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20220724.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20220805.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20221028.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20221109.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20221121.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20221203.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20221215.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20221227.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20230108.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20230201.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20230213.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20230225.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20230309.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20230321.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20230402.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20230414.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20230426.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20230508.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20230520.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
20230601.tif,678,706,339,353,8718,7.285216%,0,0.000000%,written
